name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonadota	1224	P	2303355	34028	2337383	0.74033
Bacteroidota	976	P	46908	191	47099	0.01492
Rhodothermota	1853220	P	54	0	54	0.00002
Gemmatimonadota	142182	P	229	0	229	0.00007
Campylobacterota	29547	P	2682	165	2847	0.00090
Spirochaetota	203691	P	1713	0	1713	0.00054
Planctomycetota	203682	P	503	0	503	0.00016
Chlamydiota	204428	P	480	0	480	0.00015
Thermodesulfobacteriota	200940	P	644	1	645	0.00020
Thermomicrobiota	3027942	P	313	0	313	0.00010
Acidobacteriota	57723	P	130	0	130	0.00004
Deferribacterota	200930	P	61	0	61	0.00002
Bdellovibrionota	3018035	P	30	0	30	0.00001
Bacillota	1239	P	449443	18297	467740	0.14815
Actinomycetota	201174	P	34895	211	35106	0.01112
Mycoplasmatota	544448	P	3075	3	3078	0.00097
Cyanobacteriota	1117	P	2146	0	2146	0.00068
Chloroflexota	200795	P	100	0	100	0.00003
Deinococcota	1297	P	5019	0	5019	0.00159
Fusobacteriota	32066	P	4847	10	4857	0.00154
Methanobacteriota	28890	P	174971	1372	176343	0.05585
Thermoplasmatota	2283796	P	1448	0	1448	0.00046
Thermoproteota	28889	P	2557	7	2564	0.00081
Nitrososphaerota	651137	P	2137	2	2139	0.00068
Nanobdellota	192989	P	109	0	109	0.00003
Candidatus Nanohalarchaeota	1462430	P	74	1	75	0.00002
Candidatus Micrarchaeota	1801631	P	22	0	22	0.00001
Promethearchaeota	3366641	P	83	0	83	0.00003
Chordata	7711	P	46112	2075	48187	0.01526
Uroviricota	2731618	P	14278	47	14325	0.00454
Peploviricota	2731361	P	139	0	139	0.00004
Nucleocytoviricota	2732007	P	1436	0	1436	0.00045
Preplasmiviricota	2732008	P	254	8	262	0.00008
Negarnaviricota	2497569	P	322	19	341	0.00011
Kitrinoviricota	2732406	P	48	0	48	0.00002
Lenarviricota	2732407	P	37	0	37	0.00001
Pisuviricota	2732408	P	37	0	37	0.00001
Duplornaviricota	2732405	P	34	15	49	0.00002
Cressdnaviricota	2732416	P	15	0	15	0.00000
