name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonadota	1224	P	1010991	29469	1040460	0.62714
Bacteroidota	976	P	50614	105	50719	0.03057
Rhodothermota	1853220	P	85	0	85	0.00005
Gemmatimonadota	142182	P	294	1	295	0.00018
Campylobacterota	29547	P	2375	318	2693	0.00162
Spirochaetota	203691	P	2089	1	2090	0.00126
Planctomycetota	203682	P	569	0	569	0.00034
Chlamydiota	204428	P	327	0	327	0.00020
Thermodesulfobacteriota	200940	P	675	2	677	0.00041
Thermomicrobiota	3027942	P	379	0	379	0.00023
Acidobacteriota	57723	P	111	0	111	0.00007
Deferribacterota	200930	P	48	0	48	0.00003
Bdellovibrionota	3018035	P	41	0	41	0.00002
Bacillota	1239	P	204885	10593	215478	0.12988
Actinomycetota	201174	P	39074	724	39798	0.02399
Mycoplasmatota	544448	P	3269	12	3281	0.00198
Cyanobacteriota	1117	P	2166	0	2166	0.00131
Chloroflexota	200795	P	137	0	137	0.00008
Fusobacteriota	32066	P	4775	17	4792	0.00289
Deinococcota	1297	P	4550	0	4550	0.00274
Methanobacteriota	28890	P	202629	2307	204936	0.12353
Thermoplasmatota	2283796	P	1645	0	1645	0.00099
Thermoproteota	28889	P	2184	8	2192	0.00132
Nitrososphaerota	651137	P	1518	2	1520	0.00092
Candidatus Nanohalarchaeota	1462430	P	69	3	72	0.00004
Nanobdellota	192989	P	56	0	56	0.00003
Candidatus Micrarchaeota	1801631	P	30	0	30	0.00002
Promethearchaeota	3366641	P	71	0	71	0.00004
Chordata	7711	P	46269	4183	50452	0.03041
Uroviricota	2731618	P	26252	41	26293	0.01585
Peploviricota	2731361	P	86	0	86	0.00005
Nucleocytoviricota	2732007	P	1210	0	1210	0.00073
Preplasmiviricota	2732008	P	632	17	649	0.00039
Negarnaviricota	2497569	P	917	44	961	0.00058
Lenarviricota	2732407	P	51	0	51	0.00003
Pisuviricota	2732408	P	25	0	25	0.00002
Kitrinoviricota	2732406	P	16	0	16	0.00001
Duplornaviricota	2732405	P	14	26	40	0.00002
Cossaviricota	2732415	P	12	0	12	0.00001
Cressdnaviricota	2732416	P	12	0	12	0.00001
Taleaviricota	2840024	P	11	1	12	0.00001
