name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonadota	1224	P	2176297	30124	2206421	0.70044
Bacteroidota	976	P	29742	16	29758	0.00945
Rhodothermota	1853220	P	92	0	92	0.00003
Gemmatimonadota	142182	P	270	0	270	0.00009
Campylobacterota	29547	P	2538	58	2596	0.00082
Spirochaetota	203691	P	1587	0	1587	0.00050
Planctomycetota	203682	P	590	0	590	0.00019
Chlamydiota	204428	P	472	0	472	0.00015
Thermodesulfobacteriota	200940	P	714	1	715	0.00023
Thermomicrobiota	3027942	P	350	0	350	0.00011
Acidobacteriota	57723	P	106	0	106	0.00003
Deferribacterota	200930	P	72	0	72	0.00002
Bdellovibrionota	3018035	P	25	0	25	0.00001
Bacillota	1239	P	500316	19858	520174	0.16513
Actinomycetota	201174	P	37036	289	37325	0.01185
Mycoplasmatota	544448	P	3053	0	3053	0.00097
Cyanobacteriota	1117	P	1974	0	1974	0.00063
Chloroflexota	200795	P	95	0	95	0.00003
Fusobacteriota	32066	P	6090	2	6092	0.00193
Deinococcota	1297	P	3869	0	3869	0.00123
Methanobacteriota	28890	P	163133	1065	164198	0.05213
Thermoplasmatota	2283796	P	1503	0	1503	0.00048
Thermoproteota	28889	P	2441	4	2445	0.00078
Nitrososphaerota	651137	P	1680	2	1682	0.00053
Nanobdellota	192989	P	87	0	87	0.00003
Candidatus Nanohalarchaeota	1462430	P	63	4	67	0.00002
Candidatus Micrarchaeota	1801631	P	25	0	25	0.00001
Promethearchaeota	3366641	P	98	0	98	0.00003
Chordata	7711	P	44755	495	45250	0.01436
Uroviricota	2731618	P	117038	101	117139	0.03719
Peploviricota	2731361	P	73	0	73	0.00002
Nucleocytoviricota	2732007	P	1594	0	1594	0.00051
Lenarviricota	2732407	P	69	0	69	0.00002
Kitrinoviricota	2732406	P	44	0	44	0.00001
Negarnaviricota	2497569	P	42	0	42	0.00001
Pisuviricota	2732408	P	24	0	24	0.00001
Cressdnaviricota	2732416	P	25	1	26	0.00001
Cossaviricota	2732415	P	10	0	10	0.00000
Taleaviricota	2840024	P	13	0	13	0.00000
