name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillota	1239	P	449448	27362	476810	0.41540
Actinomycetota	201174	P	32479	558	33037	0.02878
Mycoplasmatota	544448	P	3727	2	3729	0.00325
Cyanobacteriota	1117	P	2213	0	2213	0.00193
Chloroflexota	200795	P	133	0	133	0.00012
Pseudomonadota	1224	P	345522	7491	353013	0.30755
Bacteroidota	976	P	107181	976	108157	0.09423
Rhodothermota	1853220	P	66	0	66	0.00006
Chlorobiota	1090	P	15	0	15	0.00001
Gemmatimonadota	142182	P	2757	2	2759	0.00240
Spirochaetota	203691	P	3626	0	3626	0.00316
Campylobacterota	29547	P	3390	738	4128	0.00360
Thermodesulfobacteriota	200940	P	1432	35	1467	0.00128
Planctomycetota	203682	P	335	0	335	0.00029
Chlamydiota	204428	P	158	0	158	0.00014
Thermomicrobiota	3027942	P	198	0	198	0.00017
Acidobacteriota	57723	P	70	0	70	0.00006
Deferribacterota	200930	P	46	0	46	0.00004
Bdellovibrionota	3018035	P	31	0	31	0.00003
Fusobacteriota	32066	P	4266	4	4270	0.00372
Deinococcota	1297	P	2669	2	2671	0.00233
Methanobacteriota	28890	P	58060	792	58852	0.05127
Thermoplasmatota	2283796	P	1281	0	1281	0.00112
Thermoproteota	28889	P	2239	37	2276	0.00198
Nitrososphaerota	651137	P	1437	15	1452	0.00126
Nanobdellota	192989	P	56	0	56	0.00005
Candidatus Nanohalarchaeota	1462430	P	50	10	60	0.00005
Candidatus Micrarchaeota	1801631	P	32	0	32	0.00003
Promethearchaeota	3366641	P	136	2	138	0.00012
Chordata	7711	P	57348	1234	58582	0.05104
Uroviricota	2731618	P	22722	45	22767	0.01983
Peploviricota	2731361	P	150	0	150	0.00013
Preplasmiviricota	2732008	P	1672	26	1698	0.00148
Nucleocytoviricota	2732007	P	1179	2	1181	0.00103
Negarnaviricota	2497569	P	2176	56	2232	0.00194
Lenarviricota	2732407	P	52	0	52	0.00005
Pisuviricota	2732408	P	29	0	29	0.00003
Kitrinoviricota	2732406	P	14	0	14	0.00001
Duplornaviricota	2732405	P	10	14	24	0.00002
Taleaviricota	2840024	P	10	0	10	0.00001
