name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonadota	1224	P	3732293	51183	3783476	0.81756
Bacteroidota	976	P	26157	7	26164	0.00565
Rhodothermota	1853220	P	43	0	43	0.00001
Gemmatimonadota	142182	P	230	0	230	0.00005
Campylobacterota	29547	P	2776	52	2828	0.00061
Spirochaetota	203691	P	1279	0	1279	0.00028
Planctomycetota	203682	P	293	0	293	0.00006
Chlamydiota	204428	P	161	0	161	0.00003
Thermodesulfobacteriota	200940	P	375	0	375	0.00008
Thermomicrobiota	3027942	P	226	0	226	0.00005
Deferribacterota	200930	P	102	0	102	0.00002
Acidobacteriota	57723	P	66	0	66	0.00001
Bdellovibrionota	3018035	P	18	0	18	0.00000
Bacillota	1239	P	463826	12521	476347	0.10293
Actinomycetota	201174	P	26406	338	26744	0.00578
Mycoplasmatota	544448	P	2568	1	2569	0.00056
Cyanobacteriota	1117	P	1297	0	1297	0.00028
Chloroflexota	200795	P	88	0	88	0.00002
Fusobacteriota	32066	P	6608	3	6611	0.00143
Deinococcota	1297	P	3141	1	3142	0.00068
Chordata	7711	P	80571	1124	81695	0.01765
Methanobacteriota	28890	P	72534	756	73290	0.01584
Thermoplasmatota	2283796	P	1012	0	1012	0.00022
Thermoproteota	28889	P	2323	11	2334	0.00050
Nitrososphaerota	651137	P	1711	11	1722	0.00037
Candidatus Micrarchaeota	1801631	P	78	0	78	0.00002
Nanobdellota	192989	P	63	0	63	0.00001
Candidatus Nanohalarchaeota	1462430	P	45	6	51	0.00001
Promethearchaeota	3366641	P	110	0	110	0.00002
Uroviricota	2731618	P	123428	376	123804	0.02675
Peploviricota	2731361	P	77	0	77	0.00002
Negarnaviricota	2497569	P	5437	152	5589	0.00121
Lenarviricota	2732407	P	70	0	70	0.00002
Pisuviricota	2732408	P	31	0	31	0.00001
Kitrinoviricota	2732406	P	17	0	17	0.00000
Preplasmiviricota	2732008	P	4005	71	4076	0.00088
Nucleocytoviricota	2732007	P	1475	0	1475	0.00032
Hofneiviricota	2732410	P	151	0	151	0.00003
Cressdnaviricota	2732416	P	10	0	10	0.00000
Taleaviricota	2840024	P	15	0	15	0.00000
